annee,code_commune,nom_commune,nb_naissances,nb_places,ratio_places_par_naissance
2017,93055,PANTIN,1045,1177,1.13
2019,75110,PARIS 10E ARRONDISSEMENT,1642,2852,1.74
2019,91223,ETAMPES,907,497,0.55
2019,94033,FONTENAY SOUS BOIS,665,1130,1.7
2017,75101,PARIS 1ER ARRONDISSEMENT,167,362,2.17
2017,75109,PARIS 9E ARRONDISSEMENT,799,1901,2.38
2017,77307,MONTEVRAIN,224,326,1.46
2017,78642,VERNEUIL SUR SEINE,190,337,1.77
2017,78646,VERSAILLES,1034,2241,2.17
2017,95197,DEUIL LA BARRE,376,466,1.24
2017,95203,EAUBONNE,458,704,1.54
2017,95218,ERAGNY,337,423,1.26
2018,77108,CHELLES,944,1140,1.21
2018,77284,MEAUX,2791,1208,0.43
2018,91228,EVRY COURCOURONNES,1332,1557,1.17
2018,92024,CLICHY,985,1550,1.57
2018,93077,VILLEMOMBLE,474,507,1.07
2018,95487,PERSAN,1029,235,0.23
2022,77014,AVON,175,213,1.22
2022,77258,LOGNES,207,335,1.62
2022,92024,CLICHY,830,1817,2.19
2022,94076,VILLEJUIF,772,1203,1.56
2022,95582,SANNOIS,403,605,1.5
2019,75103,PARIS 3E ARRONDISSEMENT,385,893,2.32
2019,77058,BUSSY SAINT GEORGES,417,654,1.57
2019,78126,LA CELLE SAINT CLOUD,209,433,2.07
2019,91216,EPINAY SUR ORGE,120,262,2.18
2019,91386,MENNECY,183,279,1.52
2019,92025,COLOMBES,1365,2265,1.66
2019,93030,DUGNY,206,156,0.76
2019,94002,ALFORTVILLE,732,947,1.29
2019,94017,CHAMPIGNY SUR MARNE,1087,1338,1.23
2022,78674,VILLEPREUX,156,312,2.0
2022,93064,ROSNY SOUS BOIS,819,964,1.18
2018,78440,LES MUREAUX,608,553,0.91
2018,78674,VILLEPREUX,127,266,2.09
2018,91345,LONGJUMEAU,322,502,1.56
2018,91549,SAINTE GENEVIEVE DES BOIS,485,734,1.51
2018,92007,BAGNEUX,712,991,1.39
2018,93032,GAGNY,585,632,1.08
2018,95351,LOUVRES,420,156,0.37
2017,92071,SCEAUX,142,437,3.08
2017,93051,NOISY LE GRAND,1172,1386,1.18
2017,94004,BOISSY SAINT LEGER,252,314,1.25
2019,75101,PARIS 1ER ARRONDISSEMENT,180,364,2.02
2019,78165,LES CLAYES SOUS BOIS,175,446,2.55
2019,78545,SAINT CYR L ECOLE,326,597,1.83
2019,93010,BONDY,1044,1006,0.96
2017,77118,CLAYE SOUILLY,460,249,0.54
2017,77296,MOISSY CRAMAYEL,301,452,1.5
2017,91421,MONTGERON,328,539,1.64
2017,94034,FRESNES,442,573,1.3
2017,94044,LIMEIL BREVANNES,587,658,1.12
2017,95280,GOUSSAINVILLE,589,347,0.59
2018,75116,PARIS 16E ARRONDISSEMENT,1566,3128,2.0
2018,77186,FONTAINEBLEAU,666,255,0.38
2018,77316,MORET LOING ET ORVANNE,361,362,1.0
2018,78418,MONTESSON,139,351,2.53
2018,91386,MENNECY,158,250,1.58
2018,92078,VILLENEUVE LA GARENNE,444,478,1.08
2018,93049,NEUILLY PLAISANCE,285,343,1.2
2018,94044,LIMEIL BREVANNES,522,652,1.25
2018,94054,ORLY,451,492,1.09
2018,95572,SAINT OUEN L AUMONE,427,585,1.37
2022,78311,HOUILLES,500,964,1.93
2022,91027,ATHIS MONS,592,811,1.37
2022,93001,AUBERVILLIERS,1285,1041,0.81
2022,93057,LES PAVILLONS SOUS BOIS,451,458,1.02
2022,94034,FRESNES,396,601,1.52
2022,94041,IVRY SUR SEINE,789,1298,1.65
2022,94069,SAINT MAURICE,217,437,2.01
2022,95019,ARNOUVILLE,234,178,0.76
2017,92007,BAGNEUX,717,966,1.35
2018,95585,SARCELLES,1126,970,0.86
2019,77108,CHELLES,961,1120,1.17
2019,77390,ROISSY EN BRIE,309,481,1.56
2019,78372,MARLY LE ROI,184,429,2.33
2019,91589,SAVIGNY SUR ORGE,512,733,1.43
2019,91692,LES ULIS,407,589,1.45
2019,92020,CHATILLON,503,988,1.96
2019,93053,NOISY LE SEC,755,598,0.79
2017,91477,PALAISEAU,568,1027,1.81
2017,94002,ALFORTVILLE,761,928,1.22
2017,94016,CACHAN,400,671,1.68
2017,94075,VILLECRESNES,100,171,1.71
2017,95539,SAINT BRICE SOUS FORET,257,329,1.28
2018,75108,PARIS 8E ARRONDISSEMENT,425,1196,2.81
2018,77479,VAIRES SUR MARNE,168,288,1.71
2018,91215,EPINAY SOUS SENART,166,275,1.66
2018,92040,ISSY LES MOULINEAUX,957,2527,2.64
2022,91521,RIS ORANGIS,558,582,1.04
2022,92032,FONTENAY AUX ROSES,238,413,1.74
2022,94002,ALFORTVILLE,667,1036,1.55
2022,95428,MONTMORENCY,246,366,1.49
2019,92002,ANTONY,819,1588,1.94
2019,94075,VILLECRESNES,127,187,1.47
2022,78005,ACHERES,342,549,1.61
2022,78158,LE CHESNAY ROCQUENCOURT,262,633,2.42
2022,78361,MANTES LA JOLIE,2486,620,0.25
2022,95598,SOISY SOUS MONTMORENCY,216,328,1.52
2022,95680,VILLIERS LE BEL,523,360,0.69
2018,75107,PARIS 7E ARRONDISSEMENT,447,1100,2.46
2018,77251,LIEUSAINT,251,411,1.64
2018,92064,SAINT CLOUD,354,827,2.34
2018,93001,AUBERVILLIERS,1570,1020,0.65
2018,94018,CHARENTON LE PONT,436,807,1.85
2018,95197,DEUIL LA BARRE,379,462,1.22
2018,95428,MONTMORENCY,295,378,1.28
2017,77067,CESSON,118,265,2.25
2017,78688,VOISINS LE BRETONNEUX,84,246,2.93
2017,93006,BAGNOLET,512,625,1.22
2017,95306,HERBLAY SUR SEINE,461,661,1.43
2017,95487,PERSAN,1093,261,0.24
2019,75109,PARIS 9E ARRONDISSEMENT,768,1906,2.48
2019,77464,THORIGNY SUR MARNE,153,195,1.27
2019,78242,FONTENAY LE FLEURY,166,337,2.03
2019,78311,HOUILLES,433,940,2.17
2019,91200,DOURDAN,302,212,0.7
2019,91549,SAINTE GENEVIEVE DES BOIS,501,730,1.46
2019,91570,SAINT MICHEL SUR ORGE,308,442,1.44
2019,92023,CLAMART,569,1251,2.2
2019,92035,LA GARENNE COLOMBES,433,931,2.15
2019,93032,GAGNY,641,695,1.08
2019,93070,SAINT OUEN SUR SEINE,957,1227,1.28
2019,93073,TREMBLAY EN FRANCE,608,674,1.11
2019,94081,VITRY SUR SEINE,1508,1310,0.87
2019,95582,SANNOIS,420,602,1.43
2017,92062,PUTEAUX,702,1640,2.34
2017,93014,CLICHY SOUS BOIS,614,346,0.56
2017,93064,ROSNY SOUS BOIS,920,888,0.97
2017,94018,CHARENTON LE PONT,463,815,1.76
2017,95127,CERGY,1407,1569,1.12
2018,78358,MAISONS LAFFITTE,259,621,2.4
2018,91661,VILLEBON SUR YVETTE,120,317,2.64
2018,92060,LE PLESSIS ROBINSON,381,820,2.15
2018,94021,CHEVILLY LARUE,268,424,1.58
2022,77251,LIEUSAINT,253,371,1.47
2022,77307,MONTEVRAIN,273,380,1.39
2022,77379,PROVINS,500,225,0.45
2022,92020,CHATILLON,452,1001,2.21
2022,92025,COLOMBES,1267,2308,1.82
2022,92033,GARCHES,160,546,3.41
2022,92075,VANVES,253,590,2.33
2022,93014,CLICHY SOUS BOIS,465,353,0.76
2022,93070,SAINT OUEN SUR SEINE,871,1285,1.48
2022,95018,ARGENTEUIL,1764,1984,1.12
2022,95313,L'ISLE ADAM,404,211,0.52
2017,93073,TREMBLAY EN FRANCE,571,647,1.13
2017,93077,VILLEMOMBLE,485,490,1.01
2019,92036,GENNEVILLIERS,804,1179,1.47
2019,92072,SEVRES,240,603,2.51
2019,95637,VAUREAL,209,385,1.84
2017,77258,LOGNES,245,378,1.54
2017,92049,MONTROUGE,721,1610,2.23
2017,94042,JOINVILLE LE PONT,264,498,1.89
2017,94078,VILLENEUVE SAINT GEORGES,726,422,0.58
2017,95585,SARCELLES,1150,994,0.86
2018,78242,FONTENAY LE FLEURY,165,346,2.1
2018,92049,MONTROUGE,690,1565,2.27
2018,95476,OSNY,235,385,1.64
2018,95555,SAINT GRATIEN,267,431,1.61
2022,91471,ORSAY,160,336,2.1
2022,91657,VIGNEUX SUR SEINE,519,551,1.06
2022,93048,MONTREUIL,1574,2637,1.68
2022,95351,LOUVRES,554,209,0.38
2022,95607,TAVERNY,342,567,1.66
2019,77296,MOISSY CRAMAYEL,267,440,1.65
2019,78361,MANTES LA JOLIE,2790,616,0.22
2019,78423,MONTIGNY LE BRETONNEUX,400,939,2.35
2019,91326,JUVISY SUR ORGE,322,363,1.13
2019,93029,DRANCY,1274,833,0.65
2019,95176,CORMEILLES EN PARISIS,373,528,1.42
2022,77153,DAMMARTIN EN GOELE,648,229,0.35
2022,78297,GUYANCOURT,448,1022,2.28
2022,91552,SAINT GERMAIN LES ARPAJON,152,251,1.65
2022,91687,VIRY CHATILLON,498,626,1.26
2022,93079,VILLETANEUSE,165,151,0.92
2022,95539,SAINT BRICE SOUS FORET,245,327,1.33
2018,94004,BOISSY SAINT LEGER,258,324,1.26
2018,94052,NOGENT SUR MARNE,398,904,2.27
2018,95019,ARNOUVILLE,253,177,0.7
2017,75105,PARIS 5E ARRONDISSEMENT,441,1290,2.93
2017,77407,SAINT FARGEAU PONTHIERRY,531,351,0.66
2017,91021,ARPAJON,855,216,0.25
2017,92063,RUEIL MALMAISON,979,2088,2.13
2017,93070,SAINT OUEN SUR SEINE,977,1137,1.16
2017,93072,STAINS,716,479,0.67
2019,77243,LAGNY SUR MARNE,263,401,1.52
2019,78335,LIMAY,377,365,0.97
2019,78362,MANTES LA VILLE,366,402,1.1
2019,91114,BRUNOY,333,539,1.62
2019,91477,PALAISEAU,486,1019,2.1
2019,92014,BOURG LA REINE,229,497,2.17
2019,93045,LES LILAS,318,514,1.62
2019,94044,LIMEIL BREVANNES,545,598,1.1
2019,95313,L'ISLE ADAM,397,228,0.57
2017,75114,PARIS 14E ARRONDISSEMENT,1568,3279,2.09
