nom,type,adresse,code_postal,commune,code_insee,tel,gestion,gestionnaire,capacite,nb_accueil_fam,age_mini_mois,age_maxi_annee,handicap,geo_shape,geo_point_2d
Cyan,Micro crèche,86 92 RUE THIERS,92100,BOULOGNE BILLANCOURT,92012,01 42 53 12 68,Privé,Société Microbaby,11.0,,2.5,4.0,5.0,"{""coordinates"": [2.2505302551136577, 48.83393433100444], ""type"": ""Point""}","48.83393433100444, 2.2505302551136577"
Daphné,Micro crèche,8 10 RUE MOLIERE,92120,MONTROUGE,92049,01 42 37 58 83,Privé,Société Microbaby,11.0,,2.5,4.0,,"{""coordinates"": [2.315243999719623, 48.81104199956718], ""type"": ""Point""}","48.81104199956718, 2.315243999719623"
Diamant,Multi-accueil,37 RUE DANTON,92130,ISSY LES MOULINEAUX,92040,,Privé,Société Microbaby,14.0,,2.5,4.0,5.0,"{""coordinates"": [2.2716799996913335, 48.824082999573506], ""type"": ""Point""}","48.824082999573506, 2.2716799996913335"
Du Pré au Bois,Multi-accueil,41 43 RUE DU PROFESSEUR VICTOR PAUCHET,92420,VAUCRESSON,92076,01 47 41 88 99,Associatif,Association Familiale du Pré au Bois,24.0,,6.0,4.0,,"{""coordinates"": [2.16925400049117, 48.847151000055554], ""type"": ""Point""}","48.847151000055554, 2.16925400049117"
Flachat Enfance,Multi-accueil,42 RUE DE CHANZY,92600,ASNIERES SUR SEINE,92004,01 47 33 60 94,Associatif,Association Flachat Enfance,24.0,,6.0,4.0,,"{""coordinates"": [2.2735790000227545, 48.9090700002639], ""type"": ""Point""}","48.9090700002639, 2.2735790000227545"
Fleur d'Oranger,Micro crèche,47 AVENUE DU GENERAL DE GAULLE,92360,MEUDON,92048,,Privé,Société La Maison Bleue - MC IDF 9,10.0,,2.5,4.0,5.0,"{""coordinates"": [2.224728999606784, 48.78671700039192], ""type"": ""Point""}","48.78671700039192, 2.224728999606784"
Fleury,Multi-accueil,23 RUE CHARLES INFROIT,92190,MEUDON,92048,,Privé,Société La Maison Bleue,24.0,,2.5,4.0,5.0,"{""coordinates"": [2.2443960001395635, 48.806510999752206], ""type"": ""Point""}","48.806510999752206, 2.2443960001395635"
Framboisine,Multi-accueil,80 RUE ADOLPHE PAJEAUD,92160,ANTONY,92002,01 40 91 00 18,Associatif,Association Framboisine,50.0,,12.0,4.0,5.0,"{""coordinates"": [2.2897400003917756, 48.743753999949], ""type"": ""Point""}","48.743753999949, 2.2897400003917756"
Gala,Multi-accueil,114 AVENUE ANATOLE FRANCE,92300,LEVALLOIS,92044,01 47 57 01 07,Privé,Société La Maison Bleue - Levallois,22.0,,2.5,4.0,,"{""coordinates"": [2.2824509996291726, 48.89505900004618], ""type"": ""Point""}","48.89505900004618, 2.2824509996291726"
Germain Houdard,Multi-accueil,119 AVENUE ACHILLE PERRETI,92200,NEUILLY SUR SEINE,92051,01 55 62 62 10,Commune,Commune de Neuilly-sur-Seine,53.0,,2.5,4.0,5.0,"{""coordinates"": [2.2701639993231804, 48.88400899969453], ""type"": ""Point""}","48.88400899969453, 2.2701639993231804"
